mondo_id	label	category	prevalence_per_100k_us	prioritization_category
MONDO:0010382	fragile X-associated tremor/ataxia syndrome	Neurodegenerative		initial
MONDO:0010382	fragile X-associated tremor/ataxia syndrome	Neurodevelopmental		initial
MONDO:0008056	myotonic dystrophy type 1	Cardiac		initial
MONDO:0008564	DiGeorge syndrome	Cardiac		initial
MONDO:0008678	Williams syndrome	Neurodevelopmental		initial
MONDO:0007947	Marfan syndrome	Cardiac		initial
MONDO:0010526	Fabry disease	Cardiac		initial
MONDO:0007534	Beckwith-Wiedemann syndrome	Cardiac		initial
MONDO:0010383	fragile X syndrome	Neurodevelopmental		initial
MONDO:0001734	tuberous sclerosis	Neurodevelopmental		initial
MONDO:0002442	long QT syndrome	Cardiac		initial
MONDO:0004976	amyotrophic lateral sclerosis	Neurodegenerative		initial
MONDO:0007488	Lewy body dementia	Neurodegenerative		initial
MONDO:0008585	HELLP syndrome	Cardiac		initial
MONDO:0009688	myasthenia gravis	Neuroimmune		initial
MONDO:0015924	pulmonary arterial hypertension	Cardiac		initial
MONDO:0016218	Guillain-Barre syndrome	Neuroimmune		initial
MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy	Cardiac		initial
MONDO:0017276	frontotemporal dementia	Neurodegenerative		initial
MONDO:0018097	infantile spasms	Cardiac		initial
MONDO:0018097	infantile spasms	Neurodevelopmental		initial
MONDO:0018920	peripartum cardiomyopathy	Cardiac		initial
MONDO:0019079	proximal spinal muscular atrophy	Neurodegenerative		initial
MONDO:0019180	hereditary hemorrhagic telangiectasia	Cardiac		initial
MONDO:0015263	Brugada syndrome	Cardiac	0.0005	initial
MONDO:0100062	genetic developmental and epileptic encephalopathy	Neurodevelopmental		initial
MONDO:0005396	thoracic aortic aneurysm	Cardiac		initial
MONDO:0005439	familial hypercholesterolemia	Cardiac		initial
MONDO:0015140	early-onset autosomal dominant Alzheimer disease	Neurodegenerative	5.3e-05	initial
MONDO:0024573	familial hypertrophic cardiomyopathy	Cardiac		initial
MONDO:0010247	X-linked cerebral adrenoleukodystrophy	Neurodegenerative	6e-05	initial
MONDO:0005301	multiple sclerosis	Neuroimmune		initial
MONDO:0012727	Kawasaki disease	Cardiac		initial
MONDO:0018838	lissencephaly spectrum disorders	Neurodevelopmental		initial
MONDO:0016820	Moyamoya disease	Cardiac		initial
MONDO:0009265	Gaucher disease type I	Cardiac		initial
MONDO:0011017	Naxos disease	Cardiac	1e-05	initial
MONDO:0008840	ataxia telangiectasia	Neurodegenerative		initial
MONDO:0009282	multiple acyl-CoA dehydrogenase deficiency	Cardiac		initial
MONDO:0009290	glycogen storage disease II	Cardiac		initial
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	Cardiac		initial
MONDO:0007739	Huntington disease	Neurodegenerative		initial
MONDO:0009499	Krabbe disease	Neurodegenerative		initial
MONDO:0008458	spinocerebellar ataxia type 2	Neurodegenerative		initial
MONDO:0008457	spinocerebellar ataxia type 6	Neurodegenerative		initial
MONDO:0008457	spinocerebellar ataxia type 6	Neurodevelopmental		initial
MONDO:0008965	CHARGE syndrome	Cardiac		initial
MONDO:0010726	Rett syndrome	Neurodegenerative		initial
MONDO:0010726	Rett syndrome	Neurodevelopmental		initial
MONDO:0014382	Tatton-Brown-Rahman overgrowth syndrome	Neurodevelopmental	1e-06	initial
MONDO:0011518	Wiedemann-Steiner syndrome	Neurodevelopmental		initial
MONDO:0009509	Landau-Kleffner syndrome	Neurodevelopmental	1e-05	initial
MONDO:0010788	Leber hereditary optic neuropathy	Cardiac		initial
MONDO:0008723	very long chain acyl-CoA dehydrogenase deficiency	Cardiac		initial
MONDO:0012173	long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	Cardiac		initial
MONDO:0018544	adrenoleukodystrophy	Neurodegenerative		initial
MONDO:0010787	Kearns-Sayre syndrome	Cardiac		initial
MONDO:0013523	Nestor-Guillermo progeria syndrome	Neurodevelopmental	1e-06	initial
MONDO:0007113	Angelman syndrome	Neurodevelopmental		initial
MONDO:0008300	Prader-Willi syndrome	Neurodevelopmental		initial
MONDO:0018997	Noonan syndrome	Cardiac		initial
MONDO:0000437	cerebellar ataxia	Neurodegenerative		initial
MONDO:0006702	chronic inflammatory demyelinating polyradiculoneuropathy	Neuroimmune	5.5e-05	initial
MONDO:0007318	Alagille syndrome	Cardiac		initial
MONDO:0007864	angioosteohypertrophic syndrome	Cardiac		initial
MONDO:0009319	pantothenate kinase-associated neurodegeneration	Neurodegenerative	1e-09	initial
MONDO:0009468	pseudotumor cerebri	Cardiac		initial
MONDO:0010543	Barth syndrome	Cardiac	1e-08	initial
MONDO:0010568	Aicardi syndrome	Neurodevelopmental		initial
MONDO:0010765	46,XY complete gonadal dysgenesis	Cardiac		initial
MONDO:0012105	granulomatosis with polyangiitis	Cardiac		initial
MONDO:0015452	Coffin-Siris syndrome	Neurodevelopmental		initial
MONDO:0015943	eosinophilic granulomatosis with polyangiitis	Cardiac		initial
MONDO:0016295	neuronal ceroid lipofuscinosis	Neurodegenerative		initial
MONDO:0016532	Lennox-Gastaut syndrome	Neurodevelopmental		initial
MONDO:0016718	choroid plexus carcinoma	Cardiac		initial
MONDO:0018954	Loeys-Dietz syndrome	Cardiac		initial
MONDO:0019100	neuromyelitis optica	Neuroimmune		initial
MONDO:0019124	microscopic polyangiitis	Cardiac		initial
MONDO:0019262	juvenile neuronal ceroid lipofuscinosis	Neurodegenerative		initial
MONDO:0035663	neuromyelitis optica spectrum disorder with anti-AQP4 antibodies	Neuroimmune		initial
MONDO:0100135	Dravet syndrome	Neurodevelopmental		initial
MONDO:0100339	Friedreich ataxia	Neurodegenerative		initial
MONDO:0017314	Ehlers-Danlos syndrome, vascular type	Cardiac		initial
MONDO:0007191	Behcet disease	Cardiac		initial
MONDO:0008769	neuronal ceroid lipofuscinosis 2	Neurodegenerative	5e-06	initial
MONDO:0016113	bulbospinal muscular atrophy	Neurodegenerative	1e-05	initial
MONDO:0018868	metachromatic leukodystrophy	Neurodegenerative		initial
MONDO:0016241	alternating hemiplegia of childhood	Neurodevelopmental	1e-05	initial
MONDO:0010188	familial isolated deficiency of vitamin E	Neurodegenerative	6e-07	initial
MONDO:0007163	episodic ataxia type 2	Neurodegenerative	1e-05	initial
MONDO:0007163	episodic ataxia type 2	Neurodevelopmental	1e-05	initial
MONDO:0009710	Thomsen and Becker disease	Neurodegenerative		initial
MONDO:0012455	Kleefstra syndrome	Neurodevelopmental	5e-06	initial
MONDO:0008289	brain small vessel disease 1 with or without ocular anomalies	Cardiac		initial
MONDO:0007432	cerebral arteriopathy with subcortical infarcts and leukoencephalopathy	Cardiac		initial
MONDO:0012589	Pitt-Hopkins syndrome	Neurodevelopmental		initial
MONDO:0011866	pontocerebellar hypoplasia type 1A	Neurodegenerative		initial
MONDO:0012116	spinocerebellar ataxia type 8	Neurodegenerative		initial
MONDO:0010457	Ogden syndrome	Cardiac	1e-05	initial
MONDO:0010457	Ogden syndrome	Neurodevelopmental	1e-05	initial
MONDO:0018485	glycogen storage disease due to acid maltase deficiency, late-onset	Cardiac		initial
MONDO:0700294	obsolete CTCF-related neurodevelopmental disorder	Neurodevelopmental		initial
MONDO:0014464	progressive encephalopathy with leukodystrophy due to DECR deficiency	Neurodegenerative		expanded
MONDO:0011426	aceruloplasminemia	Neurodegenerative		expanded
MONDO:0016862	Alagille syndrome due to a JAG1 point mutation	Cardiac		expanded
MONDO:0859529	amyotrophic lateral sclerosis 27, juvenile	Neurodegenerative		expanded
MONDO:0033946	hereditary angioedema with C1Inh deficiency	Cardiac		expanded
MONDO:0008818	arterial tortuosity syndrome	Cardiac		expanded
MONDO:0014258	congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome	Neurodevelopmental		expanded
MONDO:0012784	autosomal recessive ataxia due to ubiquinone deficiency	Neurodegenerative		expanded
MONDO:0014162	infantile hypertrophic cardiomyopathy due to MRPL44 deficiency	Cardiac		expanded
MONDO:0009053	ALDH18A1-related de Barsy syndrome	Neurodevelopmental		expanded
MONDO:0030727	developmental and epileptic encephalopathy 101	Neurodevelopmental		expanded
MONDO:0970945	developmental and epileptic encephalopathy 116	Neurodevelopmental		expanded
MONDO:0014505	developmental and epileptic encephalopathy, 27	Neurodevelopmental		expanded
MONDO:0014895	developmental and epileptic encephalopathy, 40	Neurodevelopmental		expanded
MONDO:0007495	dystonia 5	Neurodegenerative		expanded
MONDO:0030070	heterotaxy, visceral, 9, autosomal, with male infertility	Cardiac		expanded
MONDO:0009398	hyperphosphatasia with intellectual disability syndrome 1	Neurodevelopmental		expanded
MONDO:0013882	hyperphosphatasia with intellectual disability syndrome 2	Neurodevelopmental		expanded
MONDO:0013628	hyperphosphatasia with intellectual disability syndrome 3	Neurodevelopmental		expanded
MONDO:0014780	hyperphosphatasia with intellectual disability syndrome 6	Neurodevelopmental		expanded
MONDO:0013509	intellectual disability, autosomal dominant 6	Neurodevelopmental		expanded
MONDO:0012164	Meacham syndrome	Cardiac		expanded
MONDO:0011010	Matthew-Wood syndrome	Cardiac		expanded
MONDO:0032808	developmental and epileptic encephalopathy, 77	Neurodevelopmental		expanded
MONDO:0013110	neurodegenerative syndrome due to cerebral folate transport deficiency	Neurodegenerative		expanded
MONDO:0014599	intellectual disability, autosomal dominant 34	Neurodevelopmental		expanded
MONDO:0859282	neurodevelopmental disorder with microcephaly, movement abnormalities, and seizures	Neurodevelopmental		expanded
MONDO:0013655	neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant	Neurodevelopmental		expanded
MONDO:0060629	neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal recessive	Neurodevelopmental		expanded
MONDO:0032775	neurodevelopmental disorder with seizures and speech and walking impairment	Neurodevelopmental		expanded
MONDO:0060578	neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures	Neurodevelopmental		expanded
MONDO:0009623	Nijmegen breakage syndrome	Neurodegenerative		expanded
MONDO:0009623	Nijmegen breakage syndrome	Neurodevelopmental		expanded
MONDO:0011658	autosomal recessive early-onset Parkinson disease 7	Neurodegenerative		expanded
MONDO:0011764	autosomal dominant Parkinson disease 8	Neurodegenerative		expanded
MONDO:0010714	Pelizeaus-Merzbacher spectrum disorder	Neurodegenerative		expanded
MONDO:0100215	Rajab interstitial lung disease with brain calcifications 1	Neurodevelopmental		expanded
