mondo_id	name	depth	profile_n	not_n	freq_known_n	snomed_direct_n	snomed_closure_n
MONDO:0000119	congenital heart defects, multiple types	3	0	0	0	0	0
MONDO:0000153	transposition of the great arteries	3	0	0	0	0	0
MONDO:0000190	ventricular fibrillation	3	0	0	0	0	0
MONDO:0000241	Keshan disease	3	0	0	0	0	0
MONDO:0000453	short QT syndrome	3	9	0	9	9	9
MONDO:0000465	atrioventricular block	3	0	0	0	0	0
MONDO:0000466	first-degree atrioventricular block	4	0	0	0	0	0
MONDO:0000467	second-degree atrioventricular block	4	0	0	0	0	0
MONDO:0000468	third-degree atrioventricular block	4	0	0	0	0	0
MONDO:0000469	sinoatrial node disorder	3	0	0	0	0	0
MONDO:0000470	endocardium disorder	2	0	0	0	0	0
MONDO:0000471	tricuspid valve disorder	3	0	0	0	0	0
MONDO:0000473	arterial disorder	2	0	0	0	0	0
MONDO:0000474	pericardium disorder	2	0	0	0	0	0
MONDO:0000491	limb ischemia	3	0	0	0	0	0
MONDO:0000492	chronic venous insufficiency	4	0	0	0	0	0
MONDO:0000498	arteritic anterior ischemic optic neuropathy	5	0	0	0	0	0
MONDO:0000565	infective endocarditis	4	0	0	0	0	0
MONDO:0000591	intrinsic cardiomyopathy	3	0	0	0	0	0
MONDO:0000603	autoimmune disorder of cardiovascular system	1	0	0	0	0	0
MONDO:0000610	marantic endocarditis	3	0	0	0	0	0
MONDO:0000629	cardiovascular organ benign neoplasm	2	0	0	0	0	0
MONDO:0000700	familial hemiplegic migraine	6	0	0	0	0	0
MONDO:0000701	ischemic colitis	2	0	0	0	0	0
MONDO:0000727	scapuloperoneal myopathy	6	0	0	0	0	0
MONDO:0000745	cardiac arrest	3	0	0	0	0	0
MONDO:0000758	bacillary angiomatosis	5	0	0	0	0	0
MONDO:0000811	anomalous left coronary artery from the pulmonary artery	4	0	0	0	0	0
MONDO:0000813	cardiac tuberculosis	2	0	0	0	0	0
MONDO:0000831	thrombotic disease	2	0	0	0	0	0
MONDO:0000898	malignant hemangioma	5	0	0	0	0	0
MONDO:0000908	arrhythmogenic right ventricular dysplasia 13	5	4	0	4	4	4
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	3	56	0	48	44	45
MONDO:0000944	cerebral artery occlusion	4	0	0	0	0	0
MONDO:0000945	venous insufficiency	3	0	0	0	0	0
MONDO:0000959	malignant hypertensive renal disease	5	0	0	0	0	0
MONDO:0000960	diabetic peripheral angiopathy	3	0	0	0	0	0
MONDO:0000980	aortic atherosclerosis	4	0	0	0	0	0
MONDO:0000981	Histoplasma pericarditis	4	0	0	0	0	0
MONDO:0000990	acute subendocardial myocardial infarction	5	0	0	0	0	0
MONDO:0000992	heart conduction disease	2	0	0	0	0	0
MONDO:0001049	Dressler syndrome	4	0	0	0	0	0
MONDO:0001065	supine hypotensive syndrome	4	0	0	0	0	0
MONDO:0001072	mild pre-eclampsia	7	0	0	0	0	0
MONDO:0001088	acute inferoposterior infarction	5	0	0	0	0	0
MONDO:0001089	acute inferolateral myocardial infarction	5	0	0	0	0	0
MONDO:0001090	acute anterolateral myocardial infarction	5	0	0	0	0	0
MONDO:0001093	colonic lymphangioma	4	0	0	0	0	0
MONDO:0001105	renal hypertension	5	0	0	0	0	0
MONDO:0001113	Fiedler's myocarditis	4	0	0	0	0	0
MONDO:0001114	bacterial myocarditis	4	0	0	0	0	0
MONDO:0001133	malignant essential hypertension	5	0	0	0	0	0
MONDO:0001134	essential hypertension	4	0	0	0	0	0
